"Pay securely with MADA, credit cards or with Apple Pay","Pay securely with MADA, credit cards or with Apple Pay"
"Pay securely with MADA and credit cards", "Pay securely with MADA and credit cards"
"Refund with Amwal", "Refund with Amwal"
"Are you sure you want to refund %1 with Amwal Payments", "Are you sure you want to refund %1 with Amwal Payments"
"An error occurred while refunding the order", "An error occurred while refunding the order"
"Quick checkout (Amwal)", "Quick checkout (Amwal)"
"One or more selected products are currently not available.", "One or more selected products are currently not available."
"The requested qty is not available", "The requested qty is not available"
"Pay securely with Apple Pay.", "Pay securely with Apple Pay."
"Bank Installments (Amwal)", "Bank Installments (Amwal)"
"0% bank installment, up to 12 months with instant approval.", "0% bank installment, up to 12 months with instant approval."
"Order Summary","Order Summary"
"Total:","Total:"
"Items","Items"
